Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Bad Boys for Life,"$419,074,646","$204,417,855",48.8%,"$214,656,791",51.2%
2,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
3,Dolittle,"$223,550,884","$77,047,065",34.5%,"$146,503,819",65.5%
4,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
5,The Invisible Man,"$128,216,071","$64,914,050",50.6%,"$63,302,021",49.4%
6,Onward,"$108,467,717","$61,555,145",56.7%,"$46,912,572",43.3%
7,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
8,Fantasy Island,"$47,315,959","$26,441,782",55.9%,"$20,874,177",44.1%
9,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
10,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
11,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
12,Bloodshot,"$29,478,246","$10,021,787",34%,"$19,456,459",66%
13,Emma.,"$25,270,190","$10,055,355",39.8%,"$15,214,835",60.2%
14,Gretel & Hansel,"$21,676,865","$15,347,654",70.8%,"$6,329,211",29.2%
15,The Photograph,"$20,653,204","$20,578,185",99.6%,"$75,019",0.4%
16,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
17,The Turning,"$18,594,342","$15,472,775",83.2%,"$3,121,567",16.8%
18,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
19,I Still Believe,"$11,344,946","$9,868,521",87%,"$1,476,425",13%
20,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
21,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
22,The Personal History of David Copperfield,"$8,849,875",-,-,"$8,849,875",100%
23,Malang,"$8,394,609",-,-,"$8,394,609",100%
24,The Hunt,"$8,377,244","$5,812,500",69.4%,"$2,564,744",30.6%
25,Trolls World Tour,"$7,148,541",-,-,"$7,148,541",100%
26,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
27,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
28,Spirited Away Studio Ghibli Fest 2020,"$5,769,961",-,-,"$5,769,961",100%
29,Princess Mononoke Studio Ghibli Fest 2020,"$5,581,380",-,-,"$5,581,380",100%
30,My Spy,"$5,216,587",-,-,"$5,216,587",100%
31,Scoob!,"$4,327,302",-,-,"$4,327,302",100%
32,Peninsula,"$4,000,000",-,-,"$4,000,000",100%
33,Digimon Adventure: Last Evolution Kizuna,"$3,966,107",-,-,"$3,966,107",100%
34,Military Wives,"$3,510,584",-,-,"$3,510,584",100%
35,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
36,The Last Full Measure,"$3,257,205","$2,949,212",90.5%,"$307,993",9.5%
37,The Lodge,"$3,154,127","$2,138,907",67.8%,"$1,015,220",32.2%
38,SamSam,"$2,785,651",-,-,"$2,785,651",100%
39,The Wretched,"$2,436,649","$1,732,418",71.1%,"$704,231",28.9%
40,Baaghi 3,"$1,997,071","$721,439",36.1%,"$1,275,632",63.9%
41,Greed,"$1,452,546","$355,308",24.5%,"$1,097,238",75.5%
42,Sarileru Neekevvaru,"$1,366,335","$821,000",60.1%,"$545,335",39.9%
43,The Assistant,"$1,291,752","$1,100,313",85.2%,"$191,439",14.8%
44,Chhapaak,"$1,257,420","$604,334",48.1%,"$653,086",51.9%
45,The High Note,"$1,229,129",-,-,"$1,229,129",100%
46,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
47,Color Out of Space,"$1,002,270","$765,561",76.4%,"$236,709",23.6%
48,Becky,"$933,592","$933,592",100%,-,-
49,Riverdance 25th Anniversary Show,"$919,732","$81,879",8.9%,"$837,853",91.1%
50,Mafia Inc,"$889,863","$889,863",100%,-,-
51,Panga,"$879,196","$582,720",66.3%,"$296,476",33.7%
52,Relic,"$850,772","$812,242",95.5%,"$38,530",4.5%
53,Jurassic Park 2020 Re-release,"$741,600","$741,600",100%,-,-
54,Patterns of Evidence: The Red Sea Miracle,"$696,191","$696,191",100%,-,-
55,The King of Staten Island,"$679,729",-,-,"$679,729",100%
56,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$674,620","$611,000",90.6%,"$63,620",9.4%
57,Jaws 2020 Re-release,"$656,300","$656,300",100%,-,-
58,Seberg,"$585,845","$434,702",74.2%,"$151,143",25.8%
59,The Outpost,"$551,354",-,-,"$551,354",100%
60,Followed,"$524,182","$524,182",100%,-,-
61,Ghostbusters 2020 Re-release,"$500,000","$500,000",100%,-,-
62,True History of the Kelly Gang,"$457,278","$33,817",7.4%,"$423,461",92.6%
63,Once Were Brothers: Robbie Robertson and the Band,"$449,561","$449,561",100%,-,-
64,CatVideoFest 2020,"$437,625","$437,625",100%,-,-
65,Infamous,"$429,148","$429,148",100%,-,-
66,Black Panther 2020 Re-release,"$367,000","$367,000",100%,-,-
67,Inside Out 2020 Re-release,"$340,000","$340,000",100%,-,-
68,The Perfect Candidate,"$296,703",-,-,"$296,703",100%
69,Created Equal: Clarence Thomas in His Own Words,"$282,149","$282,149",100%,-,-
70,Swallow,"$274,259","$33,419",12.2%,"$240,840",87.8%
71,An American in Paris 2020 Re-release,"$267,824","$267,824",100%,-,-
72,Unhinged,"$251,849",-,-,"$251,849",100%
73,Tokyo Godfathers 2020 Re-release,"$237,571","$237,571",100%,-,-
74,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
75,Doctor Who Live Q&A And Screening,"$228,615","$228,615",100%,-,-
76,The Trip to Greece,"$220,264","$8,340",3.8%,"$211,924",96.2%
77,Resistance,"$202,477","$7,464",3.7%,"$195,013",96.3%
78,National Theater Live: Cyrano de Bergerac,"$198,352","$198,352",100%,-,-
79,The Doors: Break On Thru - A Celebration Of Ray Manzarek,"$190,160","$190,160",100%,-,-
80,Palm Springs,"$164,000","$164,000",100%,-,-
81,Cruel Peter,"$163,925",-,-,"$163,925",100%
82,Burden,"$158,132","$139,270",88.1%,"$18,862",11.9%
83,Love Story 50th Anniversary,"$153,504","$153,504",100%,-,-
84,Wendy,"$143,518","$143,518",100%,-,-
85,Incitement,"$140,306","$140,306",100%,-,-
86,We Summon the Darkness,"$140,105","$60,794",43.4%,"$79,311",56.6%
87,Gremlins 2020 Re-release,"$140,000","$140,000",100%,-,-
88,Most Wanted,"$138,000","$138,000",100%,-,-
89,Beneath Us,"$137,260","$137,260",100%,-,-
90,The Booksellers,"$135,086","$25,694",19%,"$109,392",81%
91,The Times of Bill Cunningham,"$134,288","$134,288",100%,-,-
92,Hope Gap,"$124,411","$104,732",84.2%,"$19,679",15.8%
93,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
94,Archive,"$118,674","$118,674",100%,-,-
95,Come to Daddy,"$116,930","$96,713",82.7%,"$20,217",17.3%
96,Lucky Grandma,"$102,000","$102,000",100%,-,-
97,First Cow,"$101,068","$101,068",100%,-,-
98,The Burnt Orange Heresy,"$98,797","$39,893",40.4%,"$58,904",59.6%
99,First Lady,"$93,298","$93,298",100%,-,-
